"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-05-02T14:29:30.274+10:00","0.0","150.99"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-05-02T14:32:04.674+10:00","0.0","146.82"
